"export-plot data (NetLogo 6.4.0)"
"akl_traffic.nlogo"
"07/29/2026 21:36:29:048 +1000"

"MODEL SETTINGS"
"return-home?","ql-epsilon-decay","bpr-beta","k-factor","mean-tolerance","sched-delay-cost","show-suburban-dest?","scale-factor","bpr-alpha","ql-alpha","decision-rule","show-boundary?","number_of_vehicles","fee-regime","capacity-base","sim-start-hour","ql-epsilon-init","slowest-vehicle","n-sim-days","current-seed","flat-fee-level","allow-rerouting?","control-seed?","ql-gamma","allow-retiming?","max-activity-duration","base-beta","through-share","boundary-inflow-share","el-farol-threshold","max-n-activities","ticks-per-hour","max-buffer-period","vc-threshold","min-delay-threshold"
"true","0.997","4","0.1","0.1","0.6","false","160","0.15","0.1","""Exp-Decay""","true","2500","""No-Charge""","400","5","0.4","0.4","3","11","2","false","true","0.9","false","100","0.5","0.3","0.7","0.6","4","600","40","0.85","5"

"""CBD V/C over time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","16400","0","1.5","true","""inner""","true","3"

"pen name","pen down?","mode","interval","color","x"
"""inner""","true","0","1","15","14400"
"""boundary""","true","0","1","45","14400"
"""peripheral""","true","0","1","55","14400"

"""inner""",,,,"""boundary""",,,,"""peripheral"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true","0","0","45","true","0","0","55","true"
"1","0","15","true","1","0","45","true","1","0","55","true"
"2","0","15","true","2","0","45","true","2","0","55","true"
"3","0","15","true","3","0","45","true","3","0","55","true"
"4","0","15","true","4","0","45","true","4","0","55","true"
"5","0","15","true","5","0","45","true","5","0","55","true"
"6","0","15","true","6","0","45","true","6","0","55","true"
"7","0","15","true","7","0","45","true","7","0","55","true"
"8","0","15","true","8","0","45","true","8","0","55","true"
"9","0","15","true","9","0","45","true","9","0","55","true"
"10","0","15","true","10","0","45","true","10","0","55","true"
"11","0","15","true","11","0","45","true","11","0","55","true"
"12","0","15","true","12","0","45","true","12","0","55","true"
"13","0","15","true","13","0","45","true","13","0","55","true"
"14","0","15","true","14","0","45","true","14","0","55","true"
"15","0","15","true","15","0","45","true","15","0","55","true"
"16","0","15","true","16","0.004582207669470087","45","true","16","0","55","true"
"17","0","15","true","17","0.004582207669470087","45","true","17","0","55","true"
"18","0","15","true","18","0.004582207669470087","45","true","18","0","55","true"
"19","0","15","true","19","0.004582207669470087","45","true","19","0","55","true"
"20","0","15","true","20","0.004582207669470087","45","true","20","2.0481586967975845E-4","55","true"
"21","0","15","true","21","0.004582207669470087","45","true","21","2.0481586967975845E-4","55","true"
